1.6310 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
61.4858 	EXP 	grating: autoDraw = False
61.8405 	EXP 	New trial (rep=31, index=0): None
61.8425 	DATA 	Keypress: down
61.8525 	EXP 	fixation: autoDraw = False
61.8525 	EXP 	grating: autoDraw = False
61.8525 	EXP 	grating: ori = 0.0
61.8525 	EXP 	fixation: autoDraw = True
62.8525 	EXP 	fixation: autoDraw = False
62.8525 	EXP 	grating: autoDraw = True
63.1520 	EXP 	grating: autoDraw = False
63.3067 	EXP 	New trial (rep=32, index=0): None
63.3093 	DATA 	Keypress: down
63.3189 	EXP 	fixation: autoDraw = False
63.3189 	EXP 	grating: autoDraw = False
63.3189 	EXP 	grating: ori = 0.0
63.3189 	EXP 	fixation: autoDraw = True
64.3189 	EXP 	fixation: autoDraw = False
64.3189 	EXP 	grating: autoDraw = True
64.6190 	EXP 	grating: autoDraw = False
65.1072 	EXP 	New trial (rep=33, index=0): None
65.1091 	DATA 	Keypress: up
65.1189 	EXP 	fixation: autoDraw = False
65.1189 	EXP 	grating: autoDraw = False
65.1189 	EXP 	grating: ori = 0.0
65.1189 	EXP 	fixation: autoDraw = True
65.2546 	DATA 	Keypress: up
66.1187 	EXP 	fixation: autoDraw = False
66.1187 	EXP 	grating: autoDraw = True
66.4187 	EXP 	grating: autoDraw = False
66.8422 	EXP 	New trial (rep=34, index=0): None
66.8443 	DATA 	Keypress: down
66.8520 	EXP 	fixation: autoDraw = False
66.8520 	EXP 	grating: autoDraw = False
66.8520 	EXP 	grating: ori = -2.0
66.8520 	EXP 	fixation: autoDraw = True
67.8522 	EXP 	fixation: autoDraw = False
67.8522 	EXP 	grating: autoDraw = True
68.1520 	EXP 	grating: autoDraw = False
68.7401 	EXP 	New trial (rep=35, index=0): None
68.7421 	DATA 	Keypress: down
68.7522 	EXP 	fixation: autoDraw = False
68.7522 	EXP 	grating: autoDraw = False
68.7522 	EXP 	grating: ori = 1.0
68.7522 	EXP 	fixation: autoDraw = True
69.7521 	EXP 	fixation: autoDraw = False
69.7521 	EXP 	grating: autoDraw = True
70.0522 	EXP 	grating: autoDraw = False
70.3068 	EXP 	New trial (rep=36, index=0): None
70.3091 	DATA 	Keypress: down
70.3188 	EXP 	fixation: autoDraw = False
70.3188 	EXP 	grating: autoDraw = False
70.3188 	EXP 	grating: ori = 0.0
70.3188 	EXP 	fixation: autoDraw = True
71.3187 	EXP 	fixation: autoDraw = False
71.3187 	EXP 	grating: autoDraw = True
71.6188 	EXP 	grating: autoDraw = False
72.2580 	EXP 	New trial (rep=37, index=0): None
72.2603 	DATA 	Keypress: down
72.2687 	EXP 	fixation: autoDraw = False
72.2687 	EXP 	grating: autoDraw = False
72.2687 	EXP 	grating: ori = 0.0
72.2687 	EXP 	fixation: autoDraw = True
73.2688 	EXP 	fixation: autoDraw = False
73.2688 	EXP 	grating: autoDraw = True
73.5686 	EXP 	grating: autoDraw = False
73.8902 	EXP 	New trial (rep=38, index=0): None
73.8922 	DATA 	Keypress: up
73.9019 	EXP 	fixation: autoDraw = False
73.9019 	EXP 	grating: autoDraw = False
73.9019 	EXP 	grating: ori = 0.0
73.9019 	EXP 	fixation: autoDraw = True
74.9021 	EXP 	fixation: autoDraw = False
74.9021 	EXP 	grating: autoDraw = True
75.2018 	EXP 	grating: autoDraw = False
75.6904 	EXP 	New trial (rep=39, index=0): None
75.6924 	DATA 	Keypress: up
75.7021 	EXP 	fixation: autoDraw = False
75.7021 	EXP 	grating: autoDraw = False
75.7021 	EXP 	grating: ori = 4.0
75.7021 	EXP 	fixation: autoDraw = True
76.7022 	EXP 	fixation: autoDraw = False
76.7022 	EXP 	grating: autoDraw = True
77.0020 	EXP 	grating: autoDraw = False
77.4902 	EXP 	New trial (rep=40, index=0): None
77.4926 	DATA 	Keypress: down
77.5019 	EXP 	fixation: autoDraw = False
77.5019 	EXP 	grating: autoDraw = False
77.5019 	EXP 	grating: ori = 0.0
77.5019 	EXP 	fixation: autoDraw = True
78.5020 	EXP 	fixation: autoDraw = False
78.5020 	EXP 	grating: autoDraw = True
78.8019 	EXP 	grating: autoDraw = False
79.4235 	EXP 	New trial (rep=41, index=0): None
79.4258 	DATA 	Keypress: up
79.4354 	EXP 	fixation: autoDraw = False
79.4354 	EXP 	grating: autoDraw = False
79.4354 	EXP 	grating: ori = 0.0
79.4354 	EXP 	fixation: autoDraw = True
80.4354 	EXP 	fixation: autoDraw = False
80.4354 	EXP 	grating: autoDraw = True
80.7354 	EXP 	grating: autoDraw = False
81.2912 	EXP 	New trial (rep=42, index=0): None
81.2942 	DATA 	Keypress: up
81.3019 	EXP 	fixation: autoDraw = False
81.3019 	EXP 	grating: autoDraw = False
81.3019 	EXP 	grating: ori = 1.0
81.3019 	EXP 	fixation: autoDraw = True
82.3020 	EXP 	fixation: autoDraw = False
82.3020 	EXP 	grating: autoDraw = True
82.6021 	EXP 	grating: autoDraw = False
83.2549 	EXP 	New trial (rep=43, index=0): None
83.2564 	DATA 	Keypress: down
83.2685 	EXP 	fixation: autoDraw = False
83.2685 	EXP 	grating: autoDraw = False
83.2685 	EXP 	grating: ori = 2.0
83.2685 	EXP 	fixation: autoDraw = True
84.2685 	EXP 	fixation: autoDraw = False
84.2685 	EXP 	grating: autoDraw = True
84.5685 	EXP 	grating: autoDraw = False
84.9378 	DATA 	Keypress: down
84.9565 	EXP 	New trial (rep=44, index=0): None
84.9684 	EXP 	fixation: autoDraw = False
84.9684 	EXP 	grating: autoDraw = False
84.9684 	EXP 	grating: ori = 4.0
84.9684 	EXP 	fixation: autoDraw = True
85.9685 	EXP 	fixation: autoDraw = False
85.9685 	EXP 	grating: autoDraw = True
86.2683 	EXP 	grating: autoDraw = False
86.3398 	EXP 	New trial (rep=45, index=0): None
86.3417 	DATA 	Keypress: down
86.3518 	EXP 	fixation: autoDraw = False
86.3518 	EXP 	grating: autoDraw = False
86.3518 	EXP 	grating: ori = 0.0
86.3518 	EXP 	fixation: autoDraw = True
87.3519 	EXP 	fixation: autoDraw = False
87.3519 	EXP 	grating: autoDraw = True
87.6518 	EXP 	grating: autoDraw = False
87.7733 	EXP 	New trial (rep=46, index=0): None
87.7758 	DATA 	Keypress: down
87.7852 	EXP 	fixation: autoDraw = False
87.7852 	EXP 	grating: autoDraw = False
87.7852 	EXP 	grating: ori = 4.0
87.7852 	EXP 	fixation: autoDraw = True
88.7853 	EXP 	fixation: autoDraw = False
88.7853 	EXP 	grating: autoDraw = True
89.0850 	EXP 	grating: autoDraw = False
89.1731 	EXP 	New trial (rep=47, index=0): None
89.1750 	DATA 	Keypress: down
89.1853 	EXP 	fixation: autoDraw = False
